Miss Jerry
The Corbett-Fitzsimmons Fight
Soldiers of the Cross
Bohemios
The Story of the Kelly Gang
Robbery Under Arms
Hamlet
Don Quijote
Don Álvaro o la fuerza del sino
The Fairylogue and Radio-Plays
El pastorcito de Torrente
Andreas Hofer
El blocao Velarde
La bocana de Mar Chica
A Cultura do Cacau
De Garraf a Barcelona
Un día en Xochimilco
Los dos hermanos
Fabricación del corcho en Sant Feliu de Guixols
Faldgruben
Fiesta de toros
Fiestas de Santa Lucía - Belenes
Fiestas en La Garriga
Gira política de Madero y Pino Suárez
"Hamlet, Prince of Denmark"
Cycle Rider and the Witch
Locura de amor
Lægens offer
Melilla y el Gurugu
Niños en la alameda
De onde Veje
La primera y segunda casetas
Protección de un convoy de víveres en el puente de camellos
Salome Mad
Sherlock Holmes VI
Smith's Knockabout Theatre
Le songe d'une nuit d'été
Gøngehøvdingen
El sueño milagroso
O Terremoto de Benavente
Toma caseta Z
Toma del Gurugu
Two of the Boys
La vida en el campamento
Viernes de dolores
Abraham Lincoln's Clemency
L'aluminite
Amleto
Amor gitano
Ansigttyven I
Ansigttyven II
The Red Inn
The Butterfly
By Order of Napoleon
O Centenário da Guerra Peninsular
The Connecticut Yankee
Corrida da Rampa
Camille
Desfile histórico del centenario
Don Juan de Serrallonga
Dorothy and the Scarecrow in Oz
Excursión al Gombreny
Gentleman Joe
His Brother's Wife
The White Slave Trade
Kapergasten
The Life of Moses
A Night in May
Jarní sen starého mládence
Orientalsk dans
Paganini
Peder Tordenskjold
A Pesca do Bacalhau
El pobre Valbuena
Un portero modelo
Rainha Depois de Morta Inês de Castro
A Record Hustle Through Foggy London
En rekrut fra 64
Revolução de 5 de Outubro
Le roi des parfums
Trail to the West
Valdemar Sejr
As Últimas Inundações do Tejo em Santarém
Amor fatal
As in a Looking Glass
A Balkan Episode
The Battle of Trafalgar
The Brand
En bryllupsaften
The Bushranger's Bride
"Captain Starlight, or Gentleman of the Road"
Cortejo Cívico
The Daddy's Dream
A Dog's Tale
Don Pedro el Cruel
Ekspeditricen
El fantasma del castillo
Den farlige leg
The Fatal Wedding
The Four Poster Pest
Der fremde Vogel
The Golden West
The Great Moment
The Infant at Snakeville
Jahreszeiten des Lebens
Jane Shore
Julius Caesar's Sandals
The Convict Hero
Lucha por la herencia
Madero al sur del país
Menneskedyret
Midsummer Tide
The Miner's Curse
"Les Misérables, Part 1: Jean Valjean"
The Mystery of a Hansom Cab
Oedipus Rex
Par habitude
Skæbnebæltet
Den sorte drøm
Sport Hípico
Nell Gwynne
The Devil's Assistant
Temblor de 1911 en México
The Traitress
Vicio y virtud
Zwei Frauen
L'électrocuté
The Adventures of Lieutenant Petrosino
The Alaska-Siberian Expedition
Amor de bestia
Anfisa
Anny - Story of a Prostitute
As You Like It
Atop of the World in Motion
Le bagnard
La Barrera número 13
A Batalha
Bernáték kikocsiznak
Carlota Angela
Carmen
Charles IV
Cleopatra
The Clod
The Colonel's Son
Concurso Hípico no Porto
La conspiration des drapeaux
The Crime and the Criminal
Dante's Inferno
A Dança dos Apaches
Do Men Love Women?
Dødskysset
The Great Circus Catastrophe
Eclipse de sol
Der Eid des Stephan Huller
Episódios da Terrível Explosão de Bombas no Porto
When Honor Calls
Excursión a San Lorenzo de Munt
Fiesta colombófila en el Tibidabo
The Flying Circus
For Freedom of Cuba
"From the Manger to the Cross; or, Jesus of Nazareth"
Den glade løjtnant
Grannie
Her Own Money
Herod
Il y a des pieds au plafond
De industrieel van Pont Avesnes
Judith
Leiria
Life of Villa
El lobo de la sierra
The Lust for Gold
Today and Tomorrow
The Might of Gold
Magda
The Mail Order Wife
